Week	MIHistStor	ARHistStor	DUHistStor	CLHistStor	LBHistStor	HHHistStor	GCHistStor	DWHistStor	BRHistStor
397	20075520	7327300	1423400	594110					
398	19571060	7002594	1358721	640000					
399	19042600	6559275	1325016	700000					
400	17991900	6315735	1205764	750000					
401	16713200	5457996	857829	816730					
402	15747300	4212209	543626	665960					
403	15420900	3514688	153400	486370					
404	14998000	2227300	153400	149410					
405	14966900	2227300	153400	245000					
406	15275250	2027570	478523	144000					
407	17222900	227340	1114827	480000					
408	19978700	3431907	1423400	589210					
409	20040700	7303281	1418672	589210					
410	19601600	7022271	1362641	640000					
411	19210800	6734711	1358335	700000					
412	18767700	6674800	1318210	750000					
413	18408100	6262590	1011075	816730					
414	17742200	4960633	588400	665960					
415	16408900	3593967	153400	486370					
416	15075520	2227300	153400	149410					
417	15004400	2227300	153400	245000					
418	15353100	1949692	509255	144000					
419	17643500	227340	1154038	480000					
420	20075520	3592408	1423400	594110					
421	20075520	7327300	1423400	589210					
422	19840400	7175437	1393150	640000					
423	19236900	6610967	1334833	700000					
424	18291700	6381190	1232638	750000					
425	17059600	5530377	871615	816730					
426	16192200	4344375	551533	665960					
427	15823600	3132607	153400	486370					
428	15075520	2227300	153400	149410					
429	14791900	2227300	153400	245000					
430	15075520	2227300	442630	144000					
431	18727000	7053824	1176133	241992					
432	20075520	7327300	1423400	594110					
433	20075520	7327300	1423400	594110					
434	19944900	7243535	1406715	640000					
435	19875520	7077300	1423400	704900					
436	19506000	6834807	1360596	750000					
437	19075520	6327300	1023400	816730					
438	17742200	4960633	588400	665960					
439	16408900	3593967	153400	486370					
440	15075520	2227300	153400	149410					
441	14984300	2227300	153400	245000					
442	15250200	2052627	478894	144000					
443	17378800	3104544	1085922	374306					
444	20075520	6453246	1423400	594110					
445	20075520	7327300	1423400	594110					
446	19773700	7133694	1384835	640000					
447	19531100	6826390	1375747	700000					
448	18973500	6588554	1297702	750000					
449	17848600	5662765	896830	816730					
450	17111100	4571232	565105	665960					
451	16408900	3593967	153400	486370					
452	15075520	2227300	153400	149410					
453	15075520	2227300	153400	245000					
454	15862530	1440290	539504	144000					
455	17973700	227340	1185804	480000					
456	20075520	5101290	1423400	594110					
457	20075520	7327300	1423400	594110					
458	19769400	7130374	1384174	640000					
459	19172200	6562748	1325675	700000					
460	18229200	6338592	1208817	750000					
461	17256700	5719607	907656	816730					
462	16914700	4960633	588400	665960					
463	16408900	3593967	153400	486370					
464	15075520	2227300	153400	149410					
465	14798250	2227300	153400	245000					
466	15075520	2227300	448843	144000					
467	20075520	7101395	1399802	430485					
468	20075520	7327300	1423400	594110					
469	20075520	7327300	1423400	594110					
470	19924400	7229998	1404018	640000					
471	19533820	6828124	1376076	700000					
472	18971100	6630917	1307977	750000					
473	17878000	5754969	914392	816730					
474	17185900	4639118	569166	665960					
475	16408900	3593967	153400	486370					
476	15075520	2227300	153400	149410					
477	14764690	2227300	153400	245000					
478	15083100	2219722	495452	144000					
479	17448700	227340	1185458	480000					
480	20075520	5501855	1423400	594110					
481	20075520	7327300	1423400	594110					
482	20075520	7327300	1423400	644900					
483	19875520	7077300	1423400	704900					
484	19737600	7077300	1423400	750000					
485	19075520	6327300	1023400	816730					
486	17242200	4960633	588400	665960					
487	15408900	3593967	153400	486370					
488	13575520	2227300	153400	149410					
489	13575520	2227300	153400	245000					
490	14634900	1419133	621027	144000					
491	17631700	1044213	1334596	402976					
492	19915400	3492071	1423400	594110					
493	19955200	6320562	1407101	589210					
494	19415500	6896842	1337656	640000					
495	18722800	6455172	1305244	700000					
496	17782700	6301688	1188201	750000					
497	16425000	5374674	841959	816730					
498	15383800	4078454	616987	665960					
499	15017100	3123576	353400	486370					
500	14586900	2227300	353400	149410					
501	14236720	2227300	353400	245000					
502	14781200	2227300	630843	144000					
503	17168200	3547838	1300141	359006					
504	19638300	5602020	1423400	594110					
505	19987290	7266500	1411431	589210					
506	19414800	6900829	1338451	640000					
507	18486800	6431206	1294588	700000					
508	17376300	6283584	1171800	750000					
509	15942900	5301628	828046	816730					
510	15436800	4834436	580850	665960					
511	15064000	3593967	153400	486370					
512	14623500	2227300	153400	149410					
513	14400900	2227300	153400	245000					
514	15354400	1948458	606972	144000					
515	17812600	4907288	1226109	310287					
516	20075520	7327300	1423400	594110					
517	20075520	7327300	1423400	594110					
518	19856400	7186422	1395338	640000					
519	19332500	6680770	1348090	700000					
520	18382600	6417463	1242401	750000					
521	17057800	5534324	872367	816730					
522	16552700	4890401	584198	665960					
523	14408900	3593967	153400	486370					
524	12075520	2227300	153400	149410					
525	11848100	2227300	153400	245000					
526	13025500	1277349	583482	144000					
527	18400500	6458221	1415940	484900					
528	20075520	7327300	1423400	594110					
529	20075520	7327300	1423400	594110					
530	19915700	7224684	1402960	640000					
531	19553800	6842864	1378875	700000					
532	18619000	6479353	1269181	750000					
533	17433200	5680435	900195	816730					
534	16097400	5010060	527836	665960					
535	15267600	3562910	144859	486370					
536	14865420	3816043	153400	149410					
537	14402500	3680029	153400	245000					
538	15075520	6327300	477696	144000					
539	16477380	4925440	966936	480000					
540	18605800	7327300	1423400	589272					
541	19753000	7132943	1385138	589210					
542	19322900	6836523	1325641	640000					
543	18458800	6224240	1257522	700000					
544	17775300	6365409	1182088	750000					
545	17096400	6023566	965550	816730					
546	16725700	4960633	588400	665960					
547	15408900	3593967	153400	486370					
548	13575520	2227300	153400	149410					
549	13468300	2227300	153400	245000					
550	13575520	2227300	429020	144000					
551	17638400	6825809	1231815	484900					
552	20075520	7327300	1423400	594110					
553	20075520	7327300	1423400	594110					
554	19875300	7198803	1397805	640000					
555	19191000	6577240	1328428	700000					
556	18121000	6268703	1178553	750000					
557	16774200	5363473	839826	816730					
558	15826200	4132717	538871	665960					
559	15505000	2936211	153400	486370					
560	15075520	2227300	153400	149410					
561	14839300	2227300	153400	245000					
562	15075520	2227300	415461	144000					
563	17505700	5406987	943200	266159					
564	20075520	7327300	1423400	594110					
565	20075520	7327300	1423400	594110					
566	19840000	7176204	1393303	640000					
567	19725700	6968114	1402663	700000					
568	19875520	7077300	1423400	750000					
569	19075520	6327300	1023400	816730					
570	17742200	4960633	588400	665960					
571	16408900	3593967	153400	486370					
572	15075520	2227300	153400	149410					
573	15038800	2227300	153400	245000					
574	16025500	1277317	585743	144000					
575	17585000	227340	1077542	480000					
576	20075520	5753033	1423400	594110					
577	20075520	7327300	1423400	594110					
578	20075520	7327300	1423400	644900					
579	19676400	6932213	1395845	700000					
580	18816900	6443788	1259724	750000					
581	17425200	5461119	858424	816730					
582	16294000	5026278	618432	665960					
583	15686600	3639468	341387	486370					
584	15075520	3353305	353400	149410					
585	14975200	3635413	353400	245000					
586	15161700	6241153	628344	144000					
587	16887600	4515176	1161319	480000					
588	18717800	6599796	1423400	589210					
589	19543100	6941500	1347450	589210					
590	18892600	6618373	1282188	640000					
591	17520900	6009789	1162041	700000					
592	16305300	5865233	1048445	750000					
593	15234000	5511820	868080	816730					
594	14210300	3841629	521457	665960					
595	13643100	1895211	147434	486370					
596	13233200	2227300	153400	149410					
597	13122000	2227300	153400	245000					
598	13778800	2227300	438721	144000					
599	15669470	1633350	1026023	480000					
600	18715600	4721208	1423400	594110					
601	19808500	6831869	1387212	589210					
602	20075520	7327300	1423400	644900					
603	19789200	7014425	1411459	700000					
604	19126000	6633736	1311237	750000					
605	17893200	5637005	891923	816730					
606	16575600	3955400	528263	665960					
607	16036400	2206118	149775	486370					
608	15075520	2227300	153400	149410					
609	14858400	2227300	153400	245000					
610	15075520	2227300	446821	144000					
611	16812600	490255	960220	480000					
612	19373500	2936933	1411004	589272					
613	19852300	5081084	1393220	589210					
614	19418300	6199242	1337076	640000					
615	18410300	6134052	1264972	700000					
616	17212500	5919088	1142457	721297					
617	15993700	5370233	841113	816730					
618	14962800	3988221	530227	665960					
619	14458100	1907953	150043	486370					
620	14085900	2014573	153400	149410					
621	14262200	2227300	153400	245000					
622	15830640	1472180	753855	144000					
623	17599300	227340	1291293	480000					
624	19524900	2399029	1423400	589272					
625	19650900	4108887	1365039	589210					
626	19231200	5015789	1311182	640000					
627	18239900	5442483	1248082	700000					
628	17168500	5632602	1145145	750000					
629	16309900	5677693	899673	816730					
630	16030000	4960633	588400	665960					
631	15676000	3593967	153400	486370					
632	15075520	2227300	153400	149410					
633	14973000	2227300	153400	245000					
634	16069690	1233130	609552	144000					
635	17302100	769362	1031374	453837					
636	20075520	4614034	1423400	594110					
637	20075520	7327300	1423400	594110					
638	19828400	7168249	1391718	640000					
639	19276400	6719811	1355505	700000					
640	18677500	6600422	1300032	750000					
641	17750400	5839011	930398	816730					
642	17173190	4885519	583906	665960					
643	15408900	3593967	153400	486370					
644	13575520	2227300	153400	149410					
645	13245900	2227300	153400	245000					
646	13575520	2227300	447339	144000					
647	17119400	5050559	1242547	273958					
648	20075520	7327300	1423400	594110					
649	20075520	7327300	1423400	594110					
650	20075520	7327300	1423400	644900					
651	19760200	6993721	1407527	700000					
652	19067600	6675006	1321215	750000					
653	18120500	5872425	936763	816730					
654	17733100	4952026	587885	665960					
655	16408900	3593967	153400	486370					
656	15075520	2227300	153400	149410					
657	14990800	2227300	153400	245000					
658	15436500	1866363	528268	144000					
659	17135500	227340	1071567	480000					
660	19782600	3768700	1423400	594110					
661	20075520	7327300	1423400	594110					
662	19821000	7163844	1390841	640000					
663	19164500	6626069	1337701	700000					
664	18975900	6852897	1361396	750000					
665	18102100	5919585	945745	816730					
666	17689400	4910221	585384	665960					
667	16408900	3593967	153400	486370					
668	15075520	2227300	153400	149410					
669	14904000	2227300	153400	245000					
670	15028700	2227300	340100	168300					
671	16818000	1770856	935049	432426					
672	19526200	4989823	1423400	594110					
673	20075520	7327300	1423400	594110					
674	19811900	7158195	1389716	640000					
675	19220600	6648499	1341961	700000					
676	18251600	6403765	1238012	750000					
677	16891800	5478825	861796	816730					
678	15533500	3810251	519580	665960					
679	14724200	1917303	144303	486370					
680	14300100	1923250	153400	149410					
681	14118900	2227300	153400	245000					
682	15075520	2227300	619815	144000					
683	16615700	687153	1122295	480000					
684	18986000	2913885	1423400	589272					
685	19516800	4057589	1348107	589210					
686	18866400	4638404	1308636	640000					
687	17770000	5071591	1237645	700000					
688	17063200	5631696	1180974	750000					
689	15563900	5103454	796781	816730					
690	14574100	4017433	531974	665960					
691	14205590	3593967	153400	486370					
692	13910870	2227300	153400	149410					
693	13765550	2227300	153400	245000					
694	14926800	2227300	572029	144000					
695	17966300	227340	1295565	480000					
696	20075520	3365565	1423400	589272					
697	19822950	6410777	1389150	589210					
698	19213600	6767299	1311853	640000					
699	18056900	6205763	1235131	700000					
700	16980870	6065203	1147302	750000					
701	15486800	5124799	794367	816730					
702	14199500	3518371	502118	665960					
703	13467700	1779989	142159	486370					
704	13167900	2227300	153400	149410					
705	13128000	2227300	153400	245000					
706	14870900	2227300	656895	144000					
707	17161300	227340	1295370	480000					
708	19372200	2475451	1423400	589272					
709	19525520	4047135	1349234	589210					
710	19132500	4663697	1300431	640000					
711	17694600	4607833	1168539	664914					
712	16333300	4490024	1027776	736669					
713	15011700	4273079	801600	816730					
714	13851600	3463671	504115	665960					
715	13167200	1701743	142879	486370					
716	12745800	1102898	153400	149410					
717	12854340	1532765	153400	245000					
718	14022300	4516504	563364	144000					
719	16189100	3613714	1225373	480000					
720	18343800	6072253	1423400	589210					
721	19122800	6804725	1320524	589210					
722	18551800	6535579	1265696	640000					
723	17295100	5888863	1170321	700000					
724	16239100	5833515	1068191	750000					
725	14889600	5085641	786909	816730					
726	13551000	3128186	478776	665960					
727	12743300	1127145	136550	486370					
728	12346300	745305	153400	149410					
729	12231000	1987080	153400	245000					
730	13281770	2227300	465377	144000					
731	15329800	1973009	1057767	480000					
732	17618300	4175700	1423400	589210					
733	18770600	5478312	1331956	589210					
734	18282500	5898917	1283968	640000					
735	17064000	5734200	1166244	700000					
736	16363100	6060103	1147302	750000					
737	15321100	5448703	856059	816730					
738	14953700	4911859	585482	665960					
739	14589600	3593967	153400	486370					
740	14251700	2227300	153400	149410					
741	14344200	2227300	153400	245000					
742	15075520	2227300	482532	144000					
743	17350200	706629	1085662	453838					
744	20075520	4476817	1423400	594110					
745	20075520	7327300	1423400	594110					
746	19599900	7021289	1362445	640000					
747	18765500	6448640	1304004	700000					
748	18782800	7077300	1423400	750000					
749	18546500	6286109	1015555	816730					
750	17742200	4960633	588400	665960					
751	16408900	3593967	153400	486370					
752	15075520	2227300	153400	149410					
753	15075520	2227300	153400	245000					
754	15982600	1320205	575328	144000					
755	18125200	227340	1165040	480000					
756	20075520	5357012	1423400	594110					
757	20075520	7327300	1423400	594110					
758	19683400	7074334	1373011	640000					
759	18718000	6314837	1278592	700000					
760	17588400	6108596	1147302	750000					
761	16079100	5167521	802504	816730					
762	14968580	4497195	601071	665960					
763	14363000	2998314	333431	486370					
764	14068200	3401525	353400	149410					
765	14186000	4696930	353400	245000					
766	15075520	6327300	772003	144000					
767	17561700	3841103	1394026	480000					
768	19566300	5752939	1423400	589210					
769	19601700	6996087	1358196	589210					
770	19006860	6705475	1299538	640000					
771	18016360	6089130	1227309	700000					
772	16864300	5955205	1106694	750000					
773	15662800	5365566	840224	816730					
774	14478300	3611036	507662	665960					
775	13677500	1362525	141243	486370					
776	13274800	1851219	153400	149410					
777	13023700	2227300	153400	245000					
778	14620100	2227300	657348	144000					
779	15732100	1570754	1046473	480000					
780	17168100	3422763	1387314	589210					
781	18095700	4720619	1359646	589210					
782	17609600	5136981	1283892	640000					
783	16455990	5049788	1163577	700000					
784	15337740	4838380	1020376	750000					
785	14301500	4630715	816398	816730					
786	13417600	3977768	516997	665960					
787	12772300	2127743	143394	486370					
788	12407400	1801799	153400	149410					
789	12568600	3427300	153400	245000					
790	14065600	3427300	636208	144000					
791	15681100	2821728	1136724	480000					
792	18208300	5707720	1423400	589210					
793	19036500	6842315	1327924	589210					
794	18554900	6589302	1276397	640000					
795	17133700	5871677	1132889	700000					
796	15757800	5488044	984358	750000					
797	14550500	5067034	803139	816730					
798	13485100	3529743	501087	665960					
799	13042210	1828915	146523	486370					
800	12651620	2227300	153400	149410					
801	12468300	2227300	153400	245000					
802	13486000	2227300	527481	144000					
803	15753400	1549413	1169318	480000					
804	18321600	3866391	1423400	594110					
805	19314400	5352056	1361174	589210					
806	19098600	5909760	1294297	640000					
807	18207500	6276739	1271356	700000					
808	18111400	7077300	1375244	750000					
809	17847800	6327300	1023400	816730					
810	17242200	4960633	588400	665960					
811	15408900	3593967	153400	486370					
812	13575520	2227300	153400	149410					
813	13575520	2227300	153400	245000					
814	13837700	1965123	475546	144000					
815	16124600	700621	1131069	447550					
816	19818300	4541572	1423400	594110					
817	20075520	7327300	1423400	594110					
818	19702500	7087944	1375722	640000					
819	19184800	6641314	1340597	700000					
820	18375000	6459946	1258398	750000					
821	17493400	5853754	933207	816730					
822	17075000	4960633	588400	665960					
823	15408900	3593967	153400	486370					
824	13575520	2227300	153400	149410					
825	13406300	2227300	153400	245000					
826	14225300	1577495	614438	144000					
827	17278100	5626131	1328692	336805					
828	20075520	7327300	1423400	594110					
829	20075520	7327300	1423400	594110					
830	20075520	7327300	1423400	644900					
831	19875520	7077300	1423400	704900					
832	19854900	7077300	1423400	750000					
833	19075520	6327300	1023400	816730					
834	17742200	4960633	588400	665960					
835	16408900	3593967	153400	486370					
836	15075520	2227300	153400	149410					
837	15035000	2227300	153400	245000					
838	16568900	733921	716189	144000					
839	17913300	227340	1154583	480000					
840	20075520	2531379	1423400	594110					
841	19857500	5311630	1393936	589210					
842	19325000	6238031	1326282	640000					
843	18186350	6112663	1263302	700000					
844	17100100	5931535	1147302	750000					
845	15903400	5383971	843730	816730					
846	15489500	4866062	582742	665960					
847	15147400	3593967	153400	486370					
848	14833470	2227300	153400	149410					
849	14747200	2227300	153400	245000					
850	15075520	2227300	531053	144000					
851	17821300	5029361	1185178	284506					
852	20075520	7327300	1423400	594110					
853	20075520	7327300	1423400	594110					
854	19760900	7124879	1383080	640000					
