"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1995-01-08 1 23 8 1995 1031058.88898441 719280 0 27286.4675847689 0 80624.0771522027 71.9231262176336 0 81630.2873419108 0 0 24407983.2855458 0 697370.951015594
1995-01-15 1 24 15 1995 1158995.96990866 719280 0 33584.8666103233 0 113100.862565453 71.9231262176336 0 93838.3226900864 0 0 20047667.853197 0 572790.510091343
1995-01-22 1 25 22 1995 1122022.14763655 719280 0 22217.7637667543 0 92739.088337407 71.9231262176336 0 75107.6052596999 0 0 21459234.0327208 0 613120.972363451
1995-01-29 1 26 29 1995 1145045.87130302 719280 0 26744.8817758751 0 97557.2604539754 71.9231262176336 0 80097.3106652805 0 0 20770886.1043944 0 593453.888696983
1995-02-05 2 27 5 1995 1081067.70713428 719280 0 0 0 0 71.9231262176336 0 74485.1464063007 0 0 23127604.2503002 0 660788.692865719
1995-02-12 2 28 12 1995 968630.463779728 959040 0 0 0 0 71.9231262176336 0 48815.8319954764 0 0 23139834.7677095 0 661138.136220272
1995-02-19 2 29 19 1995 907497.343746837 959040 0 0 0 0 69.1403551477572 0 60406.2126621527 0 0 21356420.9688607 0 610183.456253163
1995-02-26 2 30 26 1995 744301.770126638 959040 0 0 0 0 68.5406333078643 0 49340.5827013351 0 0 23145193.0455676 0 661291.229873361
1995-03-05 3 31 5 1995 658821.939561633 959040 0 0 0 0 65.8421204792187 0 25345.6739439123 0 0 22213914.1153428 0 634683.260438367
1995-03-12 3 32 12 1995 669208.806523172 2037960 0 0 0 0 52.7776620670415 0 43298.5848917116 0 0 18378349.271689 0 525095.693476828
1995-03-19 3 33 19 1995 354217.988354197 2037960 0 0 0 0 47.7649022426092 0 3919.1934440678 0 0 25931003.4076031 0 740885.811645803
1995-03-26 3 34 26 1995 209636.216974785 2037960 0 0 0 0 36.3101223006536 0 6151.34650909972 0 0 27519340.9058825 0 786266.883025215
1995-04-02 4 35 2 1995 241960.514645417 2037960 0 0 0 0 0 0 27643.9665803936 0 0 22915965.9874104 0 654741.885354583
1995-04-09 4 36 9 1995 179820.79828372 1918080 0 0 0 0 0 0 33350.207695618 151931.997486799 0 22982466.5600698 0 656641.90171628
1995-04-16 4 37 16 1995 0 1899835.2934543 0 0 0 0 0 0 708.9666632562 0 0 27195000 594777.433389671 795244.706545695
1995-04-23 4 38 23 1995 61705.0127750958 1918080 0 0 0 0 0 0 26591.88865326 0 0 22899740.0528717 0 654278.287224904
