"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1992-06-07 6 45 7 1992 110014.824555 540497.25 190049.052990628 -96534.9177 1742280.77950344
1992-06-14 6 46 14 1992 124537.2762107 755607.313956525 541043.790404228 -74468.9176 1241635.29204025
1992-06-21 6 47 21 1992 107258.342516187 1391937.3317088 1024252.14634038 -51849.40028 2114327.20736638
1992-06-28 6 48 28 1992 85559.5131468 1555041.26989669 1671400 11210.2025 2024119.30549241
1992-07-05 7 49 5 1992 105897.2921936 1108515.10142017 1671400 46925.20523 2668078.34427975
1992-07-12 7 50 12 1992 76005.2415628129 1540050.81808991 1383400 -48898.26053 1829500.81459068
1992-07-19 7 51 19 1992 0 1238966.82270673 1257858.95939822 -116521.9088 360391.959398218
1992-07-26 7 52 26 1992 0 1346247.39068507 880100 -53823.55861 309377.494504317
1992-08-02 8 1 2 1992 0 121483.25 880100 -74523.87365 682365.634600867
1992-08-09 8 2 9 1992 0 537997.25 880100 -84935.45959 298190.130823864
1992-08-16 8 3 16 1992 0 1579592.08844972 880100 -38233.47543 659720.351207766
1992-08-23 8 4 23 1992 0 419039.000000001 683567.869699261 -7526.59946000001 689545.488622096
1992-08-30 8 5 30 1992 0 805860.380806967 767022.895203661 5793.18837000001 847677.009002679
1992-09-06 9 6 6 1992 0 2015649.09094105 710880.606016141 17191.37659 514899.764992794
1992-09-13 9 7 13 1992 0 1348085.17166425 236034.263816064 53316.3899 578448.814262044
1992-09-20 9 8 20 1992 0 680666.182862974 80500.6716501461 53646.56099 600371.68661816
1992-09-27 9 9 27 1992 0 647685.378088892 70352.7317196596 21146.47324 492271.160779547
1992-10-04 10 10 4 1992 0 1053442.13329222 73189.7445319872 83954.57499 1004233.77450451
1992-10-11 10 11 11 1992 927.710045999964 1142340.1535003 43058.0693083731 141444.021506 320741.262199547
1992-10-18 10 12 18 1992 123699.299261097 1300295.41669519 25085.5657496667 124977.87021904 231749.445566863
1992-10-25 10 13 25 1992 96213.1756146629 1752470.50764451 27292.8039157744 94934.60465672 157237.479605032
1992-11-01 11 14 1 1992 135975.065060681 2243799.04540414 15262.9388401601 149447.099383806 411213.773132675
1992-11-08 11 15 8 1992 80470.30534 1979053.68470947 0 332084.4566 453825.350264131
1992-11-15 11 16 15 1992 127977.74992 3997198.94878975 0 156288.8908 501918.134864131
1992-11-22 11 17 22 1992 145759.2961 4323184.18088615 0 112916.7225 426191.206664131
1992-11-29 11 18 29 1992 144575.36949 2124707.19260703 0 113238.7391 413769.205574131
1992-12-06 12 19 6 1992 132184.37731 3057040.88463805 0 150642.280700001 1001094.12592816
1992-12-13 12 20 13 1992 128339.19885 2786507.13000579 0 169357.8348 329765.706030965
1992-12-20 12 21 20 1992 115807.12465 2024688.68677768 0 189655.9646 322737.022770965
1992-12-27 12 22 27 1992 133786.518 2128099.66832789 0 141701.7992 317802.677940965
1993-01-03 1 23 3 1993 129377.6139 2866817.33324361 0 156084.828100001 317621.661513083
1993-01-10 1 24 10 1993 126793.37995 2322178.48266439 0 161195.374 319375.241553083
1993-01-17 1 25 17 1993 130958.07696 2056752.50554216 0 149773.9825 317986.372343083
1993-01-24 1 26 24 1993 131839.92757 2050806.06735232 0 145366.6339 316567.133203083
1993-01-31 1 27 31 1993 132600.9296 1961321.69790539 0 143710.243 320322.171173083
1993-02-07 2 28 7 1993 143349.66457 1906226.16124168 0 218528.7768 319568.856969865
1993-02-14 2 29 14 1993 167929.637013127 1694268.41197384 0 244730.6083 323210.531999865
1993-02-21 2 30 21 1993 276503.6892 1449800.64615755 0 226503.6892 320002.252059865
1993-02-28 2 31 28 1993 292515.3149 1302566.48522549 0 242515.3149 315076.873449865
