"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1998-05-10 5 41 10 1998 0 23761493.4863217 3334050.10359235 0 3309667.76430997 3344049.10359235 0
1998-05-17 5 42 17 1998 0 25698317.8302193 4217731.37589772 0 3240590.49039854 4227730.37589772 0
1998-05-24 5 43 24 1998 0 28384319.8138657 5907230.0374515 0 4222231.01249315 5917229.0374515 0
1998-05-31 5 44 31 1998 0 30042674.2310204 6755822.26246364 0 4353840.28056304 6765821.26246364 0
1998-06-07 6 45 7 1998 0 31445551.3880936 6031950.35652087 0 4139699.10514571 6041949.35652087 0
1998-06-14 6 46 14 1998 0 32667253.6138344 5800972.973892 0 3477077.60115134 5810971.973892 0
1998-06-21 6 47 21 1998 0 33438584.3266482 4833412.64335644 0 3717088.65520245 4843411.64335644 0
1998-06-28 6 48 28 1998 0 33598758.7075653 3355820.99940795 0 3912764.2673697 3365819.99940795 0
1998-07-05 7 49 5 1998 0 158548781.307568 2501726.69969048 0 3416556.94039747 2511725.69969048 459143.059602526
1998-07-12 7 50 12 1998 0 306132104.761403 1648223.9997037 0 3433712.6602794 1658222.9997037 424887.339720602
1998-07-19 7 51 19 1998 0 140653364.760279 801696.61679195 0 2040333.89462476 811695.61679195 1801166.10537524
1998-07-26 7 52 26 1998 0 75272733.6603449 0 0 1216681.1430113 9999 2607718.8569887
1998-08-02 8 1 2 1998 0 73653719.5602266 1479606.56871961 0 1480210.13981587 1489605.56871961 0
1998-08-09 8 2 9 1998 0 65191111.7932643 2128355.12890648 0 1486025.96514498 2138354.12890648 0
1998-08-16 8 3 16 1998 0 60023270.4959388 2131933.71004714 0 1388395.02455654 2141932.71004714 139204.975443464
1998-08-23 8 4 23 1998 3737.03774983134 55942930.9806687 2129763.10438833 29616.7923626807 1107239.20763732 2130124.44737827 484800
1998-08-30 8 5 30 1998 42863.5331319077 53628566.1177879 2137877.40268532 326211.656792571 894272.343207428 2024380.3814811 484800
