"Week" "Month" "Day" "Year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "COLFA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "PALIS" "MILNE" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
37 4 16 1995 72214.5172709346 117306.205381993 221163.687318568 12831.925083408 60910.8337071121 130603.41408591 209476.212218515 46590.9717229955 25623.0080261009 99156.9286891059 221628.060061583 233517.389644718 353872.287415993 398798.563274128 1258940.92916756 1391917.33922661 1424439.33740927 1470220.28349736 1612946.89026545 1632715.07687528 1649666.7454565 65494.6217578846 116610.889139736 568511.655018135 568089.818763859 676322.508541846 107538.229751978 1352744.90334314 1369684.01077374 1375540.26176373 1384462.83135069 3301600.83541833 3625749.32566653 3698906.54304246 3738709.98033133
38 4 23 1995 73866.8495043666 119605.802442428 230906.349589099 13543.332678021 55629.6172224628 107714.906635492 187167.972414164 39207.1015176539 21234.6374652051 82224.3984684808 179858.333717652 184382.491825504 275514.563802504 307641.871825671 1006945.75653022 1117398.28504171 1150181.48215441 1198400.30353658 1316266.10969956 1338242.29114157 1353934.29301233 42957.5860384734 97656.8265927964 388021.837524144 387940.462969405 461540.623917014 73741.2742116276 929086.402982554 952584.448120455 967281.525746516 986487.801113977 2597308.56811835 2976124.2088 3091554.44619277 3227587.47153449
39 4 30 1995 91279.3406518355 150747.058846683 371634.97012752 28634.0555729107 88958.2014739744 169544.498989372 301441.692819874 53989.1667680136 25724.3832290419 105865.573785315 198047.117316168 200997.644886298 270930.357277997 297629.764829136 1155179.55060145 1217221.23366518 1381404.7797448 1424557.74561484 1554061.16139071 1525374.02615058 1512795.66521254 44833.3264775222 75649.339331829 365927.001029811 367252.83173799 436241.941350597 102741.097439215 909111.577419157 896220.071911749 871646.863508044 864076.573320963 2519234.50905115 2639577.78859822 2718567.81859922 2773000.12084826
40 5 7 1995 171892.05113903 240887.393821909 526774.007185262 34124.4767307797 158470.26812717 303886.183542898 527743.776512558 143111.064540875 60146.4714959607 154325.628480822 265524.283065898 306617.540159825 405861.775965409 389040.622688931 1934578.62514924 2017265.94624315 2284291.37017071 2338149.36480426 2421891.82592793 2416747.58274484 2426901.93452889 120676.461882746 273657.68212532 778400.28935755 777555.754260613 779637.545946659 154143.577475135 1606311.8416425 1584083.23634908 1607236.48127693 1585353.68221259 4177479.51373497 4298019.39226597 4397136.57228668 4433641.62129999
41 5 14 1995 286059.642703398 408139.470058832 831724.540465049 71091.9250196959 302533.785864196 481882.630426266 908483.04895604 463472.534377048 207196.196653179 520642.237845047 697277.788790825 766956.803451642 872816.180392066 821994.230507646 2964192.59535707 3018313.72501596 3309931.94818805 3310459.00740433 3379904.15962993 3316144.32238833 3297099.11468879 191337.422337891 377470.963981707 1052970.99784143 1054908.33630259 1067820.75687462 215750.30373212 2341510.87882933 2328499.06544961 2367690.71499691 2353748.2488944 5629739.53495043 5698431.07868725 5704638.6380979 5653392.27678316
42 5 21 1995 365156.066216613 571144.954102023 1034255.54554155 75187.4901714983 372155.255505784 560701.159589085 1023096.66680258 548899.80006166 237419.674694207 621355.344509544 853361.811117664 943116.410415355 1116038.17550863 1068971.65808483 3879996.9549413 4106361.64587205 4429834.99568825 4548147.46348258 4663531.79419063 4662461.12274141 4677737.95722006 248683.582933911 380913.720207624 933323.52716225 936127.008303571 955534.75911137 226868.273745833 2359963.51969917 2371301.66925383 2433308.6067265 2447914.3439435 7304088.7113977 7522515.22493189 7556982.71710946 7524412.92815845
43 5 28 1995 334569.265895205 555457.211564934 976043.267165683 79012.4117867759 312018.044191656 463873.264689943 945800.734738047 362454.224928522 176849.216655881 440211.735493178 750046.077363887 843461.922277472 1101979.10670015 1081241.68060326 3991484.92378301 4285594.50295096 4524282.94754415 4726436.68664818 4887210.21787668 4941453.13500001 4989080.84848745 300779.199907796 518918.722798951 1034438.64033663 1030724.0752799 1043781.85658988 225080.130873196 2732444.44970625 2735686.72938306 2782655.07851479 2786143.39006105 8114999.16936044 8356709.38673497 8413826.69998986 8388782.54899981
44 6 4 1995 682812.599526257 952532.957123818 1476723.2537187 173310.157623499 446745.603915754 601771.944296651 1358242.49722059 651429.529390386 241045.289057272 671065.256029429 861499.549863508 910906.292953445 1044639.52910404 1040198.65442748 3963888.95795599 4090267.82351002 4337955.98606975 4533286.31048139 4714995.75041631 4704363.93093261 4720670.87366063 288692.738314218 383625.213410544 1056498.45141281 1058849.93295196 1082575.31514323 231773.736045039 2640079.01112361 2651267.59277086 2692889.87715164 2708302.43619248 7703810.79813285 7926081.95885663 8032672.03891598 8148881.7054231
45 6 11 1995 803018.94451742 1153465.90957393 1792479.83789162 157888.747584933 610033.831828328 865272.752598861 1504174.73325346 876746.579134715 269013.25506922 946834.815767976 1319564.92375331 1390614.10110422 1492327.92003011 1510021.16614168 5123498.01375975 5372904.86684119 5716715.40248988 5821038.12001698 5948533.52541723 5909332.91435876 5917942.61643092 349116.574720551 672229.432150064 1175444.50700813 1171778.03135509 1169953.5234873 229325.271006145 2692833.84445176 2698699.27020153 2727079.02223294 2725074.53194827 8625021.38554308 8444738.1325896 8395592.97894784 8331175.46094664
46 6 18 1995 689046.807521274 1060562.00410617 1490192.71150295 114342.457373764 544485.627745877 702151.953466055 1151285.82441429 427819.383816544 130543.176895683 474165.527019187 793866.062668727 867010.654754392 1162579.48292111 1250068.83976486 4411233.24616008 4768801.92048298 5102422.58842224 5342499.03490881 5517646.47357964 5621258.51736331 5704485.84159574 587563.550503538 619393.748198885 1125786.97116324 1127301.27652228 1141747.0774588 128640.202434992 2123328.05262238 2122652.74499763 2143010.58269458 2152837.76544355 8312903.58038781 8483666.13141456 8539183.8501708 8637411.72745494
