"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1982-09-19 9 8 19 1982 57391.6706336853 41018597.5652531 3561859.36710318 326488.22384689 1024891.77615311 3294392.71460692 181800
1982-09-26 9 9 26 1982 74454.7700191337 40989857.6280909 3348388.44464299 422670.391891636 972341.608108364 3004408.09001138 181800
1982-10-03 10 10 3 1982 18584.8628088354 35867137.6570418 4132181.1136753 89439.3293295093 1340478.27067049 4068099.84116777 363600
1982-10-10 10 11 10 1982 45785.6586500485 35871244.056019 4204115.79737289 223449.989979471 1241373.21002053 4028315.35228328 363600
1982-10-17 10 12 17 1982 109415.367657981 35603660.9606442 4029941.33070341 537168.994838514 962559.805161486 3592987.11258924 363600
1982-10-24 10 13 24 1982 150939.105775684 34998161.2705834 3559144.35635464 735400.669792423 799233.730207577 2960059.68074431 363600
1982-10-31 10 14 31 1982 142413.743211022 34391403.0052984 3114323.35502424 693819.324597287 875720.675402713 2550339.57114734 363600
1982-11-07 11 15 7 1982 20012.2040023921 33576026.0045531 4421200.50371942 95205.4740548867 1430702.52594511 4363879.81425482 3272400
1982-11-14 11 16 14 1982 0 31233115.243022 2205382.27462035 0 1706516.40758149 2215381.27462035 3033483.59241851
1982-11-21 11 17 21 1982 0 29672827.3748122 781552.01262778 0 1843328.38772679 791551.01262778 2853471.61227321
1982-11-28 11 18 28 1982 0 29108918.8908963 288674.409168485 0 1847281.77517593 298673.409168485 2806318.22482407
1982-12-05 12 19 5 1982 0 28463127.3320359 2923519.68075943 0 1797299.02473952 2933518.68075943 1508117.17526048
1982-12-12 12 20 12 1982 0 26996667.6915486 1971300.79972779 0 1610515.31119809 1981299.79972779 1774695.48880191
1982-12-19 12 21 19 1982 15245.3353619719 25080519.600781 911712.227442562 79468.0033874363 1577335.99661256 880272.672988403 1824605.4
1982-12-26 12 22 26 1982 52193.9422235091 23729408.2047401 150809.452484067 257136.73472911 1486931.26527089 80965.6888179442 1454400
1983-01-02 1 23 2 1983 32309.7072791947 27324628.0588091 4965207.2645921 165444.38304444 1582017.21695556 4851156.44713323 727200
1983-01-09 1 24 9 1983 22138.5691378135 26109335.8501683 4377311.72523854 112687.370215454 1638167.82978455 4301967.36691683 727200
1983-01-16 1 25 16 1983 53887.4104761558 25118515.5245733 3814731.02172433 273653.838093073 1480594.96190693 3616744.02563635 727200
1983-01-23 1 26 23 1983 68898.2492638806 24020220.7858922 3090535.04681183 353537.761584188 1404104.63841581 2839355.29924204 727200
