"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "MILNE" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS"
42 5 14 2000 102.376085018142 0 0 69.1877808020642 5.31217052754093 10305.943838902 0 44.4263813859703 0 34.1204393714376 988.706619789542 0 0 18.7411596408807 0 23445.4763236852 0 613.332226509789 7370.25549997369 0 6.65510311604973 413.532929609131 346.417432572619 11639.611575799 0 7431.71084040127 1373.6016450183 0 29.8201961819467 990.557972800048 0 355.22857733919 135.708275460053 186.40724880966 1794.15263641617
43 5 21 2000 102.376085018142 0 0.391813744428321 69.1877808020642 5.31217052754093 43951.5465388376 0 74.0687389223154 0 389.082611232715 2637.06997505708 0 0 524.041800250748 0 38766.3928017365 188.234940852068 995.920787455139 16741.9095370864 18.9817990176202 6.65510311604973 5372.90111849429 495.823239415327 24750.3474632885 1.60788144783986 33252.8586557663 7492.7624492055 0 100.710207043788 1616.89886939692 0 869.948197450528 362.52149958388 245.557702588709 2573.27891449411
44 5 28 2000 106.550732954354 0 9.3919375262376 1805.43439659974 5.31217052754093 80594.592097504 0 75.0131103171085 0 869.737029052088 9976.21034692988 0 0 65.0872535200876 0 46873.5380992391 496.678916451471 1818.11066616161 23338.9747143321 2.99800027066523 6.65510311604973 10552.3856612988 482.312150115582 40096.2594867606 7.18149248986952 55830.8622041696 15235.666868266 0 592.419356527256 1826.63992067822 0 1041.65261729971 844.398147309353 201.277477909696 3647.56843173093
45 6 4 2000 123.090579823182 0 4.43585788865638 2686.93373045463 7.30262662013313 112757.707643036 0 78.0467743525055 0 891.923559264671 8897.10944811848 0 0 914.825213317466 0 36729.0383168253 301.019635848067 537.330305410661 9805.26576132714 198.77025307606 9.76386269120458 8891.82938459282 349.046538756286 24767.3521458737 0 68662.2827928585 7537.0165121805 0 870.278688681653 987.547850504506 0 1469.28128515853 596.150013893978 417.303846942269 3460.73480341059
46 6 11 2000 123.090579823182 0 13.5074136538467 1954.25918991866 7.30262662013313 174418.079426613 0 175.369179152765 0 1659.3778955929 6195.49768790276 0 0 2108.4093802585 0 68399.6025553794 101.079645222131 1694.04058054151 24842.2585549871 85.6496026719693 22.6645050041656 14639.5795994212 622.032583400385 38991.5017891221 5.42173258579866 141036.302520168 15077.082814324 0 2274.08217938697 2165.12188203744 0 2126.81922056108 1005.78017872354 501.074611739079 5336.71367506662
47 6 18 2000 123.090579823182 0 9.34861315495582 2353.58332372384 7.30262662013313 114728.635108496 0 90.4655213065099 0 682.500931315308 5815.26178713917 0 0 296.579528065693 0 55232.2608744653 222.356343041203 1265.20387740881 22669.1072038721 38.7140267093019 9.76386269120458 7480.57265232978 572.091267108773 39657.0078538225 16.9386004811353 134079.987700908 5261.22315030493 0 1006.74448652038 1425.77998241136 0 1651.44716280616 840.406765450986 417.841739092473 4224.58656859575
48 6 25 2000 123.090579823182 0 12.9809901463384 3490.72256739728 7.30262662013313 132722.937545782 0 319.300395223509 0 1743.21325502032 15017.6532778163 0 0 1198.90379040452 0 84829.4867659688 1249.30962282992 2374.19053739564 31859.896228337 99.9836543541674 9.76386269120458 17211.3273187197 1010.76460129615 60029.0254026435 22.7952397711664 158351.714349764 16219.2827160997 0 1307.29764646616 2888.28337254293 0 2900.85353311535 2131.36930731016 655.647971763723 7171.17369654038
49 7 2 2000 105.647974393169 48.7575438821994 53.9287257301753 7249.06978234981 7.83760613400471 126983.971605949 0 289.75505580956 0 3218.36193966744 19185.9579914759 0 0 1924.19410584181 0 73278.9008291396 882.390833242515 2819.70192583079 31556.031141286 252.689669433455 24.1757955364209 23896.7128628293 902.24089873066 64120.0823300791 28.6888374912605 174082.685604339 30441.8420118706 0 2386.1203298475 2966.64027580294 0 2752.61271656486 2186.1043240207 547.562268916549 8680.59710836714
50 7 9 2000 113.997270265593 64.1326632430286 33.2152241045381 3597.64770755802 7.83760613400471 131037.322387898 0 122.311195495149 0 3203.57594534697 9563.3942355769 0 0 2588.38867468492 0 44478.2355412291 208.665418752725 1815.72785733742 25473.5034796915 198.19943379857 24.1757955364209 19952.7273907879 538.872480869222 44330.599556819 4.3371724969767 146848.827546831 24709.1469625201 0 2102.90479682914 1473.78939225033 0 1544.63251036271 1826.47203193835 391.503666115825 5675.00531869786
51 7 16 2000 140.299681785015 38.4746211967595 49.3694070159858 5410.90998684116 7.83760613400471 147168.953978001 0 273.227541394558 0 3391.52748724246 9693.35277328082 0 0 4800.77024157795 0 81483.7425219294 551.044914342626 2222.04240305482 33420.8343468721 133.082223018092 24.1757955364209 21969.5825738856 765.586287921466 55050.3977206689 35.3945086347638 131733.353064512 24892.6753032847 0 3627.84095126007 2274.26989517208 0 2824.37966350695 1985.36313009198 505.859001760817 7938.90722037499
