"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1981-12-27 12 22 27 1981 24764.5456461873 23775534.7161314 81775.1894071751 108064.595157379 1636003.40484262 40516.5610596375 1454400
1982-01-03 1 23 3 1982 44402.5222053629 27489252.674992 5626250.8350353 179912.22911049 1567549.37088951 5528005.00110658 727200
1982-01-10 1 24 10 1982 2920.75679889322 26155515.5349185 4831586.63775742 12086.2529802113 1738768.94701979 4834285.51843033 721951.052980211
1982-01-17 1 25 17 1982 0 24939899.7278113 4112832.5997121 0 1766180.85705742 4122831.5997121 697899.142942579
1982-01-24 1 26 24 1982 19966.4031693859 23749303.2914957 3444636.95954937 86578.5133037001 1671063.8866963 3403867.05538872 727200
1982-01-31 1 27 31 1982 47017.2136371606 22452948.3213879 2719769.98472245 212215.714040383 1548820.28595962 2604284.47098382 727200
1982-02-07 2 28 7 1982 24686.2863588806 20960374.9939118 2034431.05039155 118601.409024513 1529112.59097549 1973213.02261488 969600
1982-02-14 2 29 14 1982 0 19395502.0366015 1054134.01848645 0 1610995.77210973 1064133.01848645 877804.227890274
1982-02-21 2 30 21 1982 0 18986532.0581317 457761.039748563 0 1771802.63327087 467760.039748563 604797.366729127
1982-02-28 2 31 28 1982 0 19517230.5074418 267364.420302673 0 2205265.38410287 277363.420302673 59134.615897126
1982-03-07 3 32 7 1982 0 18321369.4999113 146689.594888396 0 3297761.83567683 156688.594888396 0
1982-03-14 3 33 14 1982 0 18131278.9959473 137456.601264253 0 1975019.76620593 147455.601264253 1181580.23379407
1982-03-21 3 34 21 1982 0 18076285.8952943 73032.2475331966 0 1996159.54179756 83031.2475331966 1061140.45820244
1982-03-28 3 35 28 1982 0 18101380.4466624 108732.984485226 0 1754310.882223 118731.984485226 1203689.117777
1982-04-04 4 36 4 1982 0 17148939.9512857 47856.8683155876 0 2769705.76618796 57855.8683155876 6794.23381204158
1982-04-11 4 37 11 1982 0 16988639.2284653 529.020905648409 0 1642590.79447458 10528.0209056484 1073609.20552542
1982-04-18 4 38 18 1982 0 17267338.335084 529.020905648409 0 1981243.78272819 10528.0209056484 674656.217271809
1982-04-25 4 39 25 1982 0 17461924.1945596 529.020905648409 0 2423151.42196623 10528.0209056484 172448.578033766
1982-05-02 5 40 2 1982 0 18491919.5535874 0 0 2359332.17165361 9999 0
1982-05-09 5 41 9 1982 0 20262149.5230002 0 0 3190921.25213852 9999 0
1982-05-16 5 42 16 1982 0 21889716.9529323 12255.3772952189 0 3188294.25585776 22254.3772952189 0
1982-05-23 5 43 23 1982 0 24757982.8837667 266205.667221639 0 3133708.44197487 276204.667221639 0
1982-05-30 5 44 30 1982 0 29001550.5915379 777220.089514907 0 3363693.45089561 787219.089514907 0
1982-06-06 6 45 6 1982 0 32013055.220707 1200370.51565782 0 4157499.43559965 1210369.51565782 0
1982-06-13 6 46 13 1982 0 33632527.2690843 1314550.09488676 0 4428141.40994146 1324549.09488676 0
1982-06-20 6 47 20 1982 0 35341213.0231591 669354.773795689 0 4633389.25841346 679353.773795689 0
1982-06-27 6 48 27 1982 0 37731950.9065126 424165.87467851 0 4676343.99457288 434164.87467851 0
1982-07-04 7 49 4 1982 0 43064617.4878708 2487266.13013219 0 4725179.90776591 2497265.13013219 0
1982-07-11 7 50 11 1982 0 43409980.2870624 2592350.6479963 0 4910527.5267611 2602349.6479963 0
1982-07-18 7 51 18 1982 0 43556442.0321288 2435071.37076182 0 4645086.8440821 2445070.37076182 0
1982-07-25 7 52 25 1982 0 43599799.7047347 1921654.41821466 0 3651752.52172529 1931653.41821466 172647.478274714
1982-08-01 8 1 1 1982 0 80457730.1754141 3140643.67496414 0 3011112.57434855 3150642.67496414 0
1982-08-08 8 2 8 1982 0 179621701.357862 3301308.35589232 0 3392664.89223248 3311307.35589232 0
1982-08-15 8 3 15 1982 0 231034233.964531 3155048.64333986 0 3192378.76524327 3165047.64333986 0
1982-08-22 8 4 22 1982 0 208644453.897653 2896672.54490248 0 3275883.90181734 2906671.54490248 0
1982-08-29 8 5 29 1982 0 274114957.678778 2363176.56973837 0 2748881.53414665 2373175.56973836 0
1982-09-05 9 6 5 1982 33084.9441920631 44395625.5494128 3124243.5962436 200622.566205793 1063493.43379421 3000790.93919627 181800
1982-09-12 9 7 12 1982 16482.5197396276 64545869.301314 3196160.13494704 142480.669299345 1165267.33070065 3128848.13283013 181800
1982-09-19 9 8 19 1982 25837.3625898937 41048029.8908073 3515196.14292741 146926.096870555 1204453.90312945 3400487.07065985 181800
1982-09-26 9 9 26 1982 59884.6532365305 41119198.25142 3432569.14315198 340451.000910925 1054560.99908908 3170802.70366243 181800
1982-10-03 10 10 3 1982 0 35926904.6483219 4147738.56481962 0 1480453.85889009 4157737.56481962 298906.141109906
1982-10-10 10 11 10 1982 18982.0577175115 35921053.6480191 4240546.71736294 92838.4204035141 1371984.77959649 4173281.82903303 363600
1982-10-17 10 12 17 1982 108977.077452973 35781123.3922365 4193915.89549388 537055.011280961 962673.788719039 3756137.62175823 363600
1982-10-24 10 13 24 1982 150438.753257609 35175200.2542339 3721860.0987903 735260.876496883 799373.523503117 3121719.43762629 363600
