"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1984-12-30 12 22 30 1984 16510621.93 5693126.71555 873125.9714 797665.70196 3855080 2865819.72937102 6442903.18742718 2123522.84919968 1420000 2577600 4242400
1985-01-06 1 23 6 1985 16342258.4234709 5398029.3589413 688400 786576 3880805.87744477 2818181.89662848 6123656.06668296 2123552.92720968 1370000 2578080 4242400
1985-01-13 1 24 13 1985 16181309.2940192 5113992.46364741 688400 756422 3898046.85866246 2770132.38602842 5633254.45067873 2123729.88698989 1320000 2578560 4242400
1985-01-20 1 25 20 1985 16023315.9793328 4833067.29735715 688400 726268 3905641.70487021 2720647.72778196 5134226.9049245 2122375.49189351 1270000 2579040 4242400
1985-01-27 1 26 27 1985 15864523.7772354 4548732.68263587 688400 696114 3902172.04170777 2669268.65447488 4631452.43545028 2119334.29498427 1220000 2579520 4242400
1985-02-03 2 27 3 1985 15702153.3448957 4265531.4125263 353400 665960 3887204.37402941 2616955.16981837 4431905.00064367 2113105.46779747 1170000 2580000 4242400
1985-02-10 2 28 10 1985 15483706.1776944 3953059.48876469 353400 621063 3850655.43986418 2558378.59092658 3921900 2103466.79206638 1132500 2542500 4205550
1985-02-17 2 29 17 1985 15298023.5398267 3680994.27607528 353400 576165 3803780.84479024 2500348.97119237 3921900 2094032.31354937 1095000 2505000 4168700
1985-02-24 2 30 24 1985 15131424.361924 3426773.43793551 353400 531268 3738749.58151857 2444521.31111487 3921900 2084641.57288132 1057500 2467500 4131850
1985-03-03 3 31 3 1985 14992030.6241007 3199386.20512318 353400 486370 3650595.50388684 2398772.6303006 3921900 2067950 1020000 2430000 4095000
1985-03-10 3 32 10 1985 14930882.77 3229088.40809318 353400 402130 3570250 2376574.697 3921900 2060479.79057 995000 2400000 4072500
1985-03-17 3 33 17 1985 14934155.5 3246552.908 353400 317890 3543140 2356657.01498 3921900 2057434.40263 970000 2370000 4050000
1985-03-24 3 34 24 1985 14937428.24 3246552.908 353400 233650 3517210 2350988.063 3921900 2067950 945000 2340000 4027500
1985-03-31 3 35 31 1985 14940700.97 3246552.908 353400 149410 3490000 2338194.746 3929932.90607315 2067950 920000 2310000 4005000
1985-04-07 4 36 7 1985 14968841.53 3315178.93004 353400 152613.38779 3482500 2344468.66018 3921900 2137011.92174 895000 2282500 3976880
1985-04-14 4 37 14 1985 14990486.2 3406619.391 353400 197205 3476630 2418845.25794 3921900 2142950 870000 2255000 3948750
1985-04-21 4 38 21 1985 15029590.4958819 3722921.48076396 353400 221103 3483238.94968658 2644820.21523234 4840124.58918435 2142950 845000 2227500 3920630
1985-04-28 4 39 28 1985 15077062.4486719 3727300 353400 245000 3536314.48735219 2686445.83319234 5104300 2142950 820000 2200000 3892500
1985-05-05 5 40 5 1985 15211119.7837569 3727300 353400 267000 3745804.60553765 2903181.94723062 4572412.83710792 2382446.92834384 1183000 2275600 3962400
1985-05-12 5 41 12 1985 15427591.8859061 3727300 353400 289000 4009563.76050165 3059459.56903062 5472928.14575888 2600201.0365329 1420000 2351200 4032300
1985-05-19 5 42 19 1985 15625681.1590641 3727300 353400 311000 4209636.0013423 3168588.06423062 5607631.00516474 2762971.14225253 1420000 2426800 4102200
1985-05-26 5 43 26 1985 16384626.865174 3727300 353400 333000 4625907.0898423 3330327.79168227 6403478.67516448 3063814.85826253 1420000 2502400 4172100
1985-06-02 6 44 2 1985 17140390.933474 3727300 353400 355000 5030243.577798 3513000.33588227 8741986.32207322 3338546.53178734 1420000 2578000 4242000
1985-06-09 6 45 9 1985 17794918.4566286 3923853.70688126 353400 385756.547005148 5456659.77427605 3647000 9107300 3467950 1420000 2577900 4242100
1985-06-16 6 46 16 1985 18378162.8015213 3757425.73494249 353400 417500 5855100 3647000 9107300 3467950 1420000 2577800 4242200
1985-06-23 6 47 23 1985 19191182.490619 3727300 353400 448750 5855100 3647000 9107300 3440674.77934314 1420000 2577700 4242300
1985-06-30 6 48 30 1985 19742805.0263377 3727300 353400 480000 5744054.96880249 3586310.69196 9007459.14874834 3266783.38973473 1401072.07894527 2577600 4242400
1985-07-07 7 49 7 1985 20075520 4900570.41094726 544534.1002 507303 5079213.95116615 3217933.50105837 8403036.44473976 2957099.4182279 1304625.39403127 2577600 4242400
1985-07-14 7 50 14 1985 19774295.1234351 6046499.77294566 712175.3747 534605 4975000 3166000 8316000 2592807.73272474 1197766.34972727 2577600 4242400
1985-07-21 7 51 21 1985 19497953.92 6543298.12988735 776401.25071 561908 4975000 3166000 8316000 2238000 1101689.59833527 2577600 4242400
1985-07-28 7 52 28 1985 19220743.4695026 6799620.94513405 820012.74201 586525.38823295 4975000 3166000 8151514.35520062 2206869.70342324 1044919.97313807 2577600 4242400
1985-08-04 8 1 4 1985 19278805.0571504 7039168.15159345 867999.2577 580649.53753277 4975000 3166000 7989849.03759901 2209390.83511159 1144364.73058167 2577600 4242400
1985-08-11 8 2 11 1985 19484629.9971158 7251441.56526643 952930.222892166 580472.159243825 4973457.60381058 3162477.69814057 7702617.27256813 2207034.6667127 1144318.87936157 2577600 4242400
1985-08-18 8 3 18 1985 19593849.1540515 7257182.74031208 1024599.80517694 581764.507970865 4971242.41384646 3163528.57120978 7934548.52865138 2218484.81090667 1060632.36785187 2577600 4242400
1985-08-25 8 4 25 1985 19687724.1920218 7251453.75813635 1100611.48737899 589210 4962468.51310201 3157757.82637087 7983143.8655614 2217100.64992638 966905.976613469 2577600 4242400
1985-09-01 9 5 1 1985 19598759.476057 7212609.15120435 1128252.76438175 585087.86653954 4979994.69000642 3122488.45734852 8054455.64081457 2198044.40090456 876048.451947869 2577600 4242400
1985-09-08 9 6 8 1985 19591760.8876414 7162012.21873904 1166480.55246036 539887.7964292 4980551.82590759 3097400.18562465 7598763.1856063 2180560.55971727 881766.029430069 2577600 4242400
1985-09-15 9 7 15 1985 19659857.9944232 7192031.23942638 1231274.39411913 593773.9536092 4935211.22901496 3123361.76996689 7456933.21011228 2200322.375273 1177290.88906937 2577600 4242400
1985-09-22 9 8 22 1985 19717973.2402855 7187270.07245235 1266092.15642632 627303 5005600.57058629 3156508.88602483 7713109.61269865 2218980.307637 1417763.41493511 2577600 4242400
1985-09-29 9 9 29 1985 19707372.7256931 7169525.60073664 1275237.43646862 610897.36412 5022149.85930307 3168781.03248114 7769899.19185711 2203531.87545504 1420000 2577600 4242400
1985-10-06 10 10 6 1985 19478803.3158895 6940916.31625697 1269483.67985844 584068.96531 4985675.02435272 3200664.39325114 7571241.62140799 2178197.43731068 1420000 2577600 4242400
1985-10-13 10 11 13 1985 19243508.0735311 6712454.49476972 1260498.69783596 607656.0465 4949499.44456121 3243093.11810114 7394658.78449287 2169862.28069572 1420000 2577600 4242400
1985-10-20 10 12 20 1985 19051660.8301454 6560052.97196562 1269429.28707889 638040.68497 4916804.55430863 3285363.00941114 7144272.20749691 2166361.72288702 1420000 2577600 4242400
1985-10-27 10 13 27 1985 18877313.1426761 6388626.31984097 1275804.82150587 675146.51759 4873118.6272944 3327505.14028114 7102394.05237701 2185100.34223137 1420000 2577600 4242400
