"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1985-01-13 1 24 13 1985 267676.6558 1841931.59805107 0 217676.6558 395580.455266354
1985-01-20 1 25 20 1985 256260.976900001 1840250.36519282 0 206260.976900001 390202.837616354
1985-01-27 1 26 27 1985 254508.7465 1867642.22000928 0 204508.7465 386267.211496354
1985-02-03 2 27 3 1985 241922.083500001 1890241.60514074 0 191922.083500001 698349.109979865
1985-02-10 2 28 10 1985 299710.371899999 2171336.90491615 0 262210.371899999 351108.102959865
1985-02-17 2 29 17 1985 304836.402600001 1931693.02576431 0 267336.402600001 349023.949379865
1985-02-24 2 30 24 1985 324131.420499999 1865919.45247197 0 286631.420499999 347907.843719865
1985-03-03 3 31 3 1985 297221.12477783 1788627.96421088 0 259721.12477783 361175.262054978
1985-03-10 3 32 10 1985 228632.433600654 1017371.08494585 0 203632.433600654 428893.977384978
1985-03-17 3 33 17 1985 266801.275251635 730626.687261359 0 241801.275251635 470346.692085978
1985-03-24 3 34 24 1985 440735.54746107 909949.859044997 0 415735.54746107 723861.616202343
1985-03-31 3 35 31 1985 435681.57415795 763622.222762496 0 410681.57415795 815329.581655398
1985-04-07 4 36 7 1985 444721.777841519 672591.402417509 0 419721.777841519 479179.326875581
1985-04-14 4 37 14 1985 680903.283360514 898087.508216857 0 655903.283360514 790401.632392212
1985-04-21 4 38 21 1985 950128.3974839 1314616.61939298 0 925128.3974839 1950665.92576663
1985-04-28 4 39 28 1985 1138525.03420405 2305861.29241829 0 1113525.03420405 2299098.97442065
1985-05-05 5 40 5 1985 81554.8975788997 1975832.58187558 0 444554.8975789 1134168.83710791
1985-05-12 5 41 12 1985 571811.87506075 2120652.80787867 0 808811.87506075 2566571.30865096
1985-05-19 5 42 19 1985 626947.097993231 2037464.57376652 2588.06423062179 626947.097993231 1800758.85940587
1985-05-26 5 43 26 1985 394701.958822259 2713115.32159463 186444.096024491 394701.95882226 2461903.66999974
1985-06-02 6 44 2 1985 426126.22662052 2914566.37705904 828230.235753484 426126.22662052 4004563.64690874
1985-06-09 6 45 9 1985 552698.415548 1791412.10588264 1753466.3212812 552698.415548 3217032.25708624
1985-06-16 6 46 16 1985 234627.884377999 1110265.10604125 2152400 234627.884377999 3227766.44922099
1985-06-23 6 47 23 1985 101292.814185 883916.416450079 2152400 101292.814185 2264446.78554783
1985-06-30 6 48 30 1985 98784.5505837311 824664.2745777 2152400 79856.6295290001 2062359.17525323
1985-07-07 7 49 7 1985 87447.111265 901206.434155864 2053718.77107928 -8999.57364899959 529507.636635512
1985-07-14 7 50 14 1985 109103.604299 974555.173551319 522467.357250728 2244.55999499976 596247.866554986
1985-07-21 7 51 21 1985 114383.201847 849569.360776752 195103.25877272 18306.4504550003 535010.209774036
1985-07-28 7 52 28 1985 118144.6150282 976784.103996107 118678.213290738 61374.9898309995 321447.355200621
1985-08-04 8 1 4 1985 96910.8113704 1165686.72466735 86418.7334630443 196355.568814 254848.68239839
1985-08-11 8 2 11 1985 106919.4729351 1067464.73398307 83518.0735358 106873.621715 130713.891801896
1985-08-18 8 3 18 1985 128978.058562 1500194.19636324 125813.584016955 45291.5470522996 652149.035458512
1985-08-25 8 4 25 1985 130188.3224147 1159477.78263259 111004.357063343 36461.9311763 477637.971339308
1985-09-01 9 5 1 1985 135029.79453 1098529.73398861 51574.9922707127 44172.2698644003 528016.501951961
1985-09-08 9 6 8 1985 130515.0858158 523162.328549054 70609.8277683174 136232.663298 37686.6905518088
1985-09-15 9 7 15 1985 79749.2173 1305730.19164185 133042.590307593 375274.076939301 385942.93011603
1985-09-22 9 8 22 1985 86299.71177 1243164.91951421 114548.635851849 326772.237635739 742780.881553629
1985-09-29 9 9 29 1985 199918.614430609 1122106.44845075 132081.06821112 202155.1994955 508204.50587032
1985-10-06 10 10 6 1985 184195.389978679 739104.186655132 137823.851774218 184195.389978679 282712.48073375
1985-10-13 10 11 13 1985 234246.51277659 1254225.47585539 151311.931693865 234246.51277659 362590.03679554
1985-10-20 10 12 20 1985 259399.0558213 1506117.23095192 167442.785182351 259399.0558213 255974.007090752
1985-10-27 10 13 27 1985 348550.638109033 2059429.16851928 178003.779459817 348550.638109033 440792.252411106
1985-11-03 11 14 3 1985 348457.934033662 585810.054716723 198248.442221143 348457.934033662 654346.720739137
1985-11-10 11 15 10 1985 200628.5874 1479584.65765788 280780.499938285 200628.5874 860996.236510584
