"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1980-08-10 8 2 10 1980 0 68811507.8477836 1908190.41179456 0 1054935.89372366 1918189.41179456 389864.106276341
1980-08-17 8 3 17 1980 2655.65546275487 64321174.6903232 1907155.91710752 29908.2699140075 1023319.73008599 1908689.0946844 484800
1980-08-24 8 4 24 1980 13233.8725737022 75113813.9261416 1905271.43058903 166756.033431335 970099.966568665 1874721.86214043 484800
1980-08-31 8 5 31 1980 33868.4629668264 49694819.2818924 1833798.68477961 280383.102072118 940100.897927882 1729531.30347387 484800
1980-09-07 9 6 7 1980 74965.5770529515 35703195.4266226 1497258.60687584 430355.532933426 833760.467066574 1267840.7467223 181800
1980-09-14 9 7 14 1980 105642.50757185 34098952.4304925 1365648.27326575 570968.424008906 736779.575991094 1018619.42389111 181800
1980-09-21 9 8 21 1980 108817.708530235 33858156.186414 1054346.93603216 593588.125627572 757791.874372428 685844.346169681 181800
1980-09-28 9 9 28 1980 101539.514896425 33702914.5616119 862473.032090907 533748.685802157 861263.314197843 534697.608542173 181800
1980-10-05 10 10 5 1980 149616.205066164 28987185.9489936 1270935.36709897 620755.728703715 809161.871296285 830090.252225243 363600
1980-10-12 10 11 12 1980 151390.800984163 28296590.5297781 728489.284557176 662224.347644303 802598.852355697 413405.449437705 363600
1980-10-19 10 12 19 1980 145600.156776225 27631265.6966221 209704.841679346 677907.285612656 821821.514387344 99424.484153943 363600
1980-10-26 10 13 26 1980 148989.407363885 27186017.3733603 140902.675007957 695819.836161871 838814.563838129 39340.1714869317 363600
1980-11-02 11 14 2 1980 170291.363484553 26662326.0959127 84784.4521102283 792719.846390398 776820.153609602 9999 363600
1980-11-09 11 15 9 1980 0 26166606.9859886 566816.864065678 0 2067077.91358755 576815.864065678 2716122.08641245
1980-11-16 11 16 16 1980 0 26020689.8633116 364124.72758816 0 2059029.35515775 374123.72758816 2680970.64484225
1980-11-23 11 17 23 1980 0 25922784.8247556 213134.498637608 0 1673859.8773008 223133.498637608 3022940.1226992
