"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1987-03-29 3 35 29 1987 310682.755365 1425225.9811 0 310682.755365 920494.781048454
1987-04-05 4 36 5 1987 299293.347796 1247617.75903445 0 318043.347796 544897.571161361
1987-04-12 4 37 12 1987 409068.941375528 1806503.8577436 0 427818.941375528 1100128.06807803
1987-04-19 4 38 19 1987 392204.62163254 1717125.11570714 0 410954.62163254 1125046.26552159
1987-04-26 4 39 26 1987 460303.100301 1835075.2209914 0 479053.100301 1568514.28770247
1987-05-03 5 40 3 1987 235538.8946055 1790039.25 0 300538.8946055 1564706.86539754
1987-05-10 5 41 10 1987 264651.1514 1790039.25 54436.7556699538 329651.1514 2866321.4330376
1987-05-17 5 42 17 1987 162349.03033 1790039.25 165587.226591708 120349.03033 2103443.17559092
1987-05-24 5 43 24 1987 110814.33673 1790039.25 698603.850498708 110814.33673 1739984.40274201
1987-05-31 5 44 31 1987 379080.473271944 686319.565678759 1136413.10768041 379080.473271944 681258.294935827
1987-06-07 6 45 7 1987 78573.5925582455 1510799.31953574 1192569.71884235 298031.259321131 1651792.13575768
1987-06-14 6 46 14 1987 244339.093825755 1407429.32858347 381272.372092936 131212.8187129 736239.816643388
1987-06-21 6 47 21 1987 115538.77175003 971540.27933786 670709.168061013 9207.38010000001 913572.433685194
1987-06-28 6 48 28 1987 111968.9434564 655196.942104931 788871.244760191 -66085.1547 912397.835774157
1987-07-05 7 49 5 1987 113965.381787 1651516.546207 205214.842713417 -65638.4516 79833.3263939179
1987-07-12 7 50 12 1987 109752.9576566 1799219.75335181 233555.831893129 -44734.9649 342130.806992422
1987-07-19 7 51 19 1987 112540.569139 1212856.77598275 162063.214501677 -90043.2199 533070.961050663
1987-07-26 7 52 26 1987 83115.84057507 1043069.32094711 280316.173131152 159378.9964201 280346.33831104
1987-08-02 8 1 2 1987 84847.4108032 926002.844493995 241172.161719535 40509.9125069994 1230994.0618164
1987-08-09 8 2 9 1987 0 730374.951918323 781818.169847765 -65016.39907 1113732.10573886
1987-08-16 8 3 16 1987 0 659631.854157986 442163.345931791 -41723.25032 744536.136236564
1987-08-23 8 4 23 1987 0 755244.664837344 792110.861420262 5729.36572140006 1091466.64146696
1987-08-30 8 5 30 1987 0 520557.819132128 432044.804356539 24644.5495489995 760209.976415539
1987-09-06 9 6 6 1987 52493.7522372294 394637.588175663 57530.3885267302 71663.4719470005 348629.796073803
1987-09-13 9 7 13 1987 71128.9694100004 364711.290932833 678.271664017811 71128.9694100004 242904.270110227
1987-09-20 9 8 20 1987 60161.525411 613390.525245717 0 60161.525411 135789.103896617
1987-09-27 9 9 27 1987 64583.3256379997 962202.754460805 0 64583.3256379997 257661.014955356
1987-10-04 10 10 4 1987 118363.946264 1077630.6436812 0 118363.946264 246761.29804151
1987-10-11 10 11 11 1987 125730.834415448 1584794.99113206 0 167325.354575414 304099.343658714
1987-10-18 10 12 18 1987 127162.250839065 1923030.25698379 0 172020.570396043 251426.097317098
1987-10-25 10 13 25 1987 124801.947688726 2110822.73229239 0 179463.483191009 276716.807881331
1987-11-01 11 14 1 1987 127024.537795711 2180812.20997063 0 177637.5507426 233998.266526275
1987-11-08 11 15 8 1987 132831.02882 2778042.91618998 0 158945.0842 205467.625454131
1987-11-15 11 16 15 1987 109823.38447 925421.910325004 0 230585.3074 274913.423924131
1987-11-22 11 17 22 1987 114917.05217 907395.212075011 0 187135.0833 319386.469544131
1987-11-29 11 18 29 1987 143518.22476 831801.097762495 0 112561.3719 283830.415724131
1987-12-06 12 19 6 1987 129291.9057 3598999.02468631 0 166160.4773 587550.19164736
1987-12-13 12 20 13 1987 97886.62565 2419266.64129278 0 255254.9308 543178.156980965
1987-12-20 12 21 20 1987 111891.82852 1712944.03249523 0 196215.2774 427082.963850965
1987-12-27 12 22 27 1987 132539.39143 1541677.28738924 0 151095.167599999 335597.243770965
1988-01-03 1 23 3 1988 131749.15168 2419110.17204431 0 152575.3636 312291.523643083
1988-01-10 1 24 10 1988 131944.22551 2360132.8364134 0 154569.6066 293787.890813083
1988-01-17 1 25 17 1988 116469.6736 2428139.40195001 0 214144.4946 297033.584860215
1988-01-24 1 26 24 1988 220237.001256116 2832874.88870476 0 179129.9407 389930.799691628
1988-01-31 1 27 31 1988 201811.6475 2633895.81992208 0 151811.6475 367166.594991318
1988-02-07 2 28 7 1988 253610.1321 2947003.3971019 0 216110.1321 518729.815422465
