"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalRelReducReq" "ARPrelim" "ARCombSup" "AREnergySup" "ARMcNarySup" "ARSharedWater" "ARECCSharedWater" "AR_CRT_SOA_storage" "AR_CRT_storage" "AR_CRT_release" "MI_CRT_storage" "MI_CRT_release" "MIMcNarySup" "MI_CRT_SOA_storage" "MIRelReducReq" "ARRelReducReq" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
2010-09-05 9 6 5 2010 33194.09141 799396.656020703 0 91919 214097.424443862 64065.5262886418 0 4453539.42031468 0 1e+06 0 22500 0 NA 0 1792024.85978799 0 0 99283.9197313581 33194.09141 255593.596004434
2010-09-12 9 7 12 2010 63912.0123000001 1118506.90630619 0 91919 239925.984907509 87292.7484090245 0 4397408.75598776 0 1e+06 0 22500 0 NA 0 1792024.85978799 0 0 21239.6362687293 63912.0123 220176.775957049
2010-09-19 9 8 19 2010 94557.9292799999 1368428.59321682 0 91919 254906.750887716 93812.1302100612 0 4479548.54464217 0 1e+06 0 22500 0 NA 0 1792024.85978799 0 0 0 94557.92928 162092.235489792
2010-09-26 9 9 26 2010 66576.0523221004 1609438.25280231 0 91919 230432.189203338 89689.0987703654 0 4932383.16149553 0 1e+06 0 22500 0 NA 17378.8749090508 1792024.85978799 0 0 54690.8179951049 66576.0523221004 46028.668426219
2010-10-03 10 10 3 2010 63746.2838960001 1530868.26305717 0 69419 258809.833070338 101145.867736663 0 4978633.7767886 0 1e+06 0 0 0 NA 0 1774645.98487893 0 0 9517.92886703089 63746.2838960001 340910.783871334
2010-10-10 10 11 10 2010 128195.216669439 1815590.31752482 0 69419 336475.072336455 131035.047479332 0 4868309.59030537 0 1e+06 0 0 0 NA 0 1774645.98487893 0 0 0 159420.126368306 286869.593305603
2010-10-17 10 12 17 2010 126687.116461979 1934273.1414251 0 69419 369496.618329402 144573.421175037 0 4792118.39374946 0 1e+06 0 0 0 NA 0 1774645.98487893 0 0 0 149823.055507346 256805.412612823
2010-10-24 10 13 24 2010 142310.407258903 1946770.9525308 0 69419 373633.001276584 145697.467749686 0 4626206.72731255 0 1e+06 0 0 0 NA 0 1774645.98487893 0 0 0 105968.948544641 283293.942951909
2010-10-31 10 14 31 2010 73751.2067 1804544.25665279 0 24419 323808.189804173 148567.129257238 0 4480617.71677286 0 0 45000 0 125000 NA 0 0 0 0 0 387635.324866227 217262.513875254
2010-11-07 11 15 7 2010 106631.41345 443433 0 24419 0 0 0 4321980.41770562 0 0 90000 0 250000 NA 0 0 0 0 0 207274.7113 359057.026855164
2010-11-14 11 16 14 2010 108558.85752 443433 0 24419 0 0 0 4324148.62477562 0 0 135000 0 375000 NA 0 0 0 0 0 239191.3128 385760.889480584
2010-11-21 11 17 21 2010 116842.65394 470976.610893395 0 24419 0 0 0 4310224.64207562 0 0 180000 0 5e+05 NA 0 0 0 0 0 185525.0977 379726.063820584
2010-11-28 11 18 28 2010 135912.59452 591839.774445 0 33419 0 0 0 4249744.61119562 0 0 216000 0 6e+05 NA 0 0 0 0 0 138772.6763 447620.828100584
2010-12-05 12 19 5 2010 143495.29189 992579.487964345 0 33419 0 0 0 4197847.76876562 0 0 252000 0 7e+05 NA 0 0 0 0 0 110500.222 1082995.88508629
2010-12-12 12 20 12 2010 124321.12025 505832.4246015 0 33419 0 0 0 4152734.64510562 0 0 288000 0 8e+05 NA 0 0 0 0 0 176128.4656 320038.137366965
2010-12-19 12 21 19 2010 81867.38676 510894.160647 0 33419 0 0 0 4115200.65592562 0 0 324000 0 9e+05 NA 0 0 0 0 0 284712.736099999 474231.012900735
2010-12-26 12 22 26 2010 122358.380166198 524321.278561866 0 33419 0 0 0 4069804.63919562 0 0 360000 0 1e+06 NA 0 0 0 0 0 185978.9685 441971.250533735
2011-01-02 1 23 2 2011 266694.8422 1062774.5432826 0 0 173783.312712944 0 0 3800980.21807562 988445.471075624 0 655000 0 1125000 NA 0 0 0 0 0 216694.8422 346281.2746343
2011-01-09 1 24 9 2011 204941.6577 1119872.83765651 0 0 208177.4812247 0 0 3534974.71703562 722439.970035624 0 950000 0 1250000 NA 0 0 0 0 0 154941.6577 295518.487052293
2011-01-16 1 25 16 2011 201482.1832 1017237.18329011 0 0 183599.022382025 0 0 3269151.42605562 456616.679055624 0 1245000 0 1375000 NA 0 0 0 0 0 151482.1832 270028.381170293
2011-01-23 1 26 23 2011 428612.4168 1552407.36159909 0 0 257421.444499629 0 0 3011440.86056562 198906.113565624 1e+06 1540000 0 1500000 NA 0 2500000 0 0 0 378612.4168 806182.076660293
2011-01-30 1 27 30 2011 286913.6073 1779096.81235536 0 24419 335994.006334117 84906.0768062698 0 2972013.06889562 159478.321895624 1e+06 1585000 0 1625000 NA 0 2500000 0 0 0 236913.6073 781413.579151293
2011-02-06 2 28 6 2011 338444.5085 1357250.37173747 0 24419 158127.161646742 0 0 2849280.87148935 0 1e+06 1630000 0 1750000 NA 0 2500000 0 0 0 288444.5085 857187.143509321
2011-02-13 2 29 13 2011 337779.0428 581978.9829085 0 24419 0 0 0 2808392.59750935 0 1e+06 1675000 0 1875000 NA 0 2500000 0 0 0 287779.0428 435679.580942415
2011-02-20 2 30 20 2011 440883.756599999 598603.606266 0 24419 0 0 0 2776520.03916935 0 1e+06 1720000 0 2e+06 NA 0 2500000 0 0 0 390883.756599999 563261.338322415
2011-02-27 2 31 27 2011 388634.5478 586370.447991 0 33419 0 0 0 2735443.72190935 0 1e+06 1756000 0 2100000 NA 0 2500000 0 0 0 338634.5478 618116.973837415
2011-03-06 3 32 6 2011 267900.32079599 597713.3037665 0 33419 0 0 0 2694454.27329935 0 1e+06 1792000 0 2200000 NA 0 2500000 0 0 0 224150.320795989 1014891.77620274
2011-03-13 3 33 13 2011 320220.340332617 598233.7460785 0 33419 0 0 0 2658753.39881935 0 1e+06 1828000 0 2300000 NA 0 2500000 0 0 0 276470.340332617 433584.641041973
2011-03-20 3 34 20 2011 393269.755551145 629007.864528 0 33419 0 0 0 2644510.66868935 0 1e+06 1864000 0 2400000 NA 0 2500000 0 0 0 349519.755551145 597541.343618493
2011-03-27 3 35 27 2011 432677.5874385 607160.801399 0 33419 0 0 0 2627009.25022935 0 1e+06 1900000 0 2500000 NA 0 2500000 0 0 0 388927.5874385 646470.19108898
2011-04-03 4 36 3 2011 432266.355271833 662260.527045 0 85169 0 0 0 2663968.71538935 0 1e+06 1884250 15750 2500000 NA 0 2500000 0 0 0 378516.355271833 830733.159543041
2011-04-10 4 37 10 2011 481537.2354928 657681.491655 0 85169 0 0 0 2697252.60578935 0 1e+06 1868500 15750 2500000 NA 0 2500000 0 0 0 427787.2354928 1158417.70367004
2011-04-17 4 38 17 2011 401551.6330833 646814.0452275 0 85169 0 0 0 2728286.08956935 0 1e+06 1852750 15750 2500000 NA 0 2500000 0 0 0 347801.6330833 768941.311972829
2011-04-24 4 39 24 2011 524482.43733 633753.5334075 0 85169 0 0 0 2752495.18280414 0 1e+06 1837000 15750 2500000 NA 0 2500000 0 0 0 470732.43733 730889.518854881
