"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
2001-05-06 5 40 6 2001 0 802197.235282725 0 0 0 0 0 0 0 0 0 24662400 12704878.4472502 1460882.76471727
2001-05-13 5 41 13 2001 0 945457.080942597 0 0 0 0 0 0 20335.6957768336 0 0 26350800 10298113.0401644 1365862.9190574
2001-05-20 5 42 20 2001 0 955324.459008115 0 0 0 12245.683323323 0 0 4315.43868075393 0 0 28039200 10132341.0886637 1404235.54099189
2001-05-27 5 43 27 2001 0 985375.207177478 0 0 0 0 0 0 16655.7432113105 0 0 29727600 9627488.51941838 1422424.79282252
2001-06-03 6 44 3 2001 0 1213877.57605405 0 0 0 45184.7802878738 0 0 40323.8010149963 0 0 31416000 7235810.90286487 1242162.42394595
2001-06-10 6 45 10 2001 216309.700748508 239760 0 0 0 76062.1059780891 0 0 49358.1344735318 0 0 23509548.9738022 0 671701.399251492
2001-06-17 6 46 17 2001 42157.8482207656 239760 0 0 0 98473.965693546 0 0 57958.8091634532 0 0 29300668.3122732 0 837161.951779234
2001-06-24 6 47 24 2001 16494.5560127232 239760 0 0 0 112884.051277551 0 0 66831.7736157049 0 0 29894688.0395547 0 854133.943987277
2001-07-01 7 48 1 2001 74875.5611073608 239760 0 0 0 121917.621452032 26.4372389253335 0 72796.8647569248 0 0 27547157.3612424 0 787061.638892639
2001-07-08 7 49 8 2001 0 2978311.3918905 0 21696.1939362113 0 56244.4364464366 24.0170675748641 0 75955.1682874552 0 0 29599500 541969.635175494 864388.6081095
2001-07-15 7 50 15 2001 50565.0385214597 2997000 0 26521.0452838863 0 77931.3023176755 22.0655084530142 0 83036.7977880854 0 0 27202222.6517489 0 777206.36147854
2001-07-22 7 51 22 2001 91018.3501541164 2997000 0 22641.4627997152 0 90565.6695461957 23.7677831160638 0 78657.2568319686 0 0 25188455.2446059 0 719670.149845884
2001-07-29 7 52 29 2001 299948.641937641 2997000 0 30149.4227215604 0 123581.854811379 24.9725129360177 0 84671.6007727207 0 0 17277993.5321826 0 493656.958062359
2001-08-05 8 1 5 2001 478009.455656152 479520 0 34827.6220702442 0 134332.11302373 23.6339417871939 0 89756.5709228206 0 0 13940967.0520347 0 398313.344343848
