"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1988-03-06 3 32 6 1988 14623772.25 1188498.596 153400 402130 3570250 2253103.73691305 3921900 1657768.87914704 1020000 2400000 4072500
1988-03-13 3 33 13 1988 14461472.25 1188498.596 153400 317890 3541290 2232398.30032305 3921900 1664226.66670704 1020000 2370000 4050000
1988-03-20 3 34 20 1988 14298459.13 1188498.596 153400 233650 3512340 2214582.86522305 3921900 1664541.38707704 1020000 2340000 4027500
1988-03-27 3 35 27 1988 14139541.94 1188498.596 153400 149410 3483380 2242804.74545305 3921900 1730929.96188704 1020000 2310000 4005000
1988-04-03 4 36 3 1988 14029097.23 1234424.2483 153400 173308 3480010 2243065.70627305 3921900 1773795.29438597 1038750 2282500 3976880
1988-04-10 4 37 10 1988 13955909.36 1309810.9318 153400 197205 3476630 2261554.85348305 3921900 1810444.34365597 1057500 2255000 3948750
1988-04-17 4 38 17 1988 13931206.13 1430076.28707429 153400 221103 3473260 2352383.79891527 3921900 1926567.67332897 1076250 2227500 3920630
1988-04-24 4 39 24 1988 14183092.6641599 2020643.78127429 153400 245000 3730769.51555576 2480063.51491527 4959482.54760829 2097392.98469821 1095000 2200000 3892500
1988-05-01 5 40 1 1988 14333342.5001599 2494420.99237429 195907.40533 267000 3856525.79013773 2537032.80745527 5028232.97027359 2169567.39149821 980000 2273296.8556855 3962400
1988-05-08 5 41 8 1988 14479721.1123598 2765756.16167429 220008.93779 289000 4036563.45510837 2635160.95275527 4623977.91239189 2238000 1090000 2351200 4032300
1988-05-15 5 42 15 1988 14805451.4710822 3306365.37934191 321321.91309 311000 4288441.18963384 2848691.57365527 3921900 2238000 1183000 2426800 4102200
1988-05-22 5 43 22 1988 15222714.1659442 4027984.37834191 412832.93015 333000 4582374.08616044 2979470.84467417 4371370.29938212 2283390.41130372 1272371.35933602 2502400 4172100
1988-05-29 5 44 29 1988 15701301.7301996 4673297.36200398 548442.41715 355000 4856526.77547034 3086160.20627444 3921900 2326198.10013588 1330999.55557542 2578000 4242000
1988-06-05 6 45 5 1988 16145533.7782324 5288698.72250398 666961.49255 386250 4975000 3166000 5151149.89745165 2467082.53253588 1420000 2577900 4242100
1988-06-12 6 46 12 1988 16848254.3954324 5487300 835196.75555 417500 4975000 3166000 6504638.67214357 2509605.62967577 1420000 2577800 4242200
1988-06-19 6 47 19 1988 17482760.4057269 5487300 963820.23255 448750 4975000 3166000 7884563.12634053 2458574.03227935 1376616.81171086 2577700 4242300
1988-06-26 6 48 26 1988 18396645.7966894 5487300 1154632.67165 480000 4975000 3166000 8316000 2238000 1245003.43118675 2577600 4242400
1988-07-03 7 49 3 1988 18642330.1406664 6225304.2243699 1307478.46555 507303 4975000 3166000 8316000 2229494.25831723 1183000 2577600 4231675.173059
1988-07-10 7 50 10 1988 18914770.64 6858718.83099408 1340234.482 534605 4975000 3166000 8316000 2211135.86712281 1046042.4286307 2577600 4162679.611877
1988-07-17 7 51 17 1988 19481420.26 7047090.558 1340234.482 561908 4975000 3166000 8270713.03567409 2184061.94687656 881317.5153697 2577600 4126591.634469
1988-07-24 7 52 24 1988 19778470.13 7047090.558 1360217.557 589210 4975000 3166000 8316000 2149291.72802511 710157.5457483 2577600 4118151.236519
1988-07-31 7 52 31 1988 20075520 7327300 1423400 589210 4975000 3163290.45577985 8087007.16841823 2108304.23749093 529334.1988666 2577600 4119708.366163
1988-08-07 8 1 7 1988 20075520 7327300 1423400 589210 4975000 3155129.50906062 8316000 2094376.88278427 5e+05 2577600 4121732.394274
1988-08-14 8 2 14 1988 20075520 7327300 1423400 589210 4975000 3136796.0289513 8316000 2080270.48147146 492121.63058 2577600 4124558.71358
1988-08-21 8 3 21 1988 20005022.0750427 7312377.08692979 1421861.94183513 589210 4975000 3116143.23587435 8316000 2065248.18180534 487328.99772 2577600 4124030.466939
1988-08-28 8 4 28 1988 19859416.9142966 7281555.56760556 1418685.26384826 589210 4975000 3095157.96042126 8316000 2048526.26663564 481532.05481 2577600 4122102.631614
1988-09-04 9 5 4 1988 19706995.3659108 7203309.38889804 1404588.78115654 568626.140855599 4925452.69483728 3035681.433324 8097249.57941005 2023400.19933319 495039.89242 2577600 4121487.92454
1988-09-11 9 6 11 1988 19728712.5848428 7104762.52394666 1399638.53043391 516700.594432884 4910762.22241246 2964235.7134545 7674734.86191061 1995687.81583899 5e+05 2577600 4119960.74314
1988-09-18 9 7 18 1988 19645648.8509187 7052436.95537489 1397747.11681249 469023.636310068 4898215.51790082 2898621.11672782 7391692.10478582 1967694.29546712 5e+05 2577600 4147287.5895625
1988-09-25 9 8 25 1988 19611388.9977948 7053534.55744269 1397373.83618499 524166.045869058 4903630.42116626 2859615.18457176 7042669.33279243 1941873.78384275 5e+05 2577600 4174679.5233565
1988-10-02 10 9 2 1988 19533580.754282 7085924.61045805 1393603.81981719 577089.367676908 4910241.71652917 2862521.45417976 6783869.18004772 1924507.63650173 5e+05 2577600 4210264.0244935
1988-10-09 10 10 9 1988 19355876.6245511 6913388.07780962 1385247.50550114 572618.627849232 4878077.86194896 2830707.69246976 6611088.28986696 1896769.72570011 5e+05 2577600 4242400
1988-10-16 10 11 16 1988 19122466.5084726 6621888.91991053 1376688.13585784 543315.301064678 4823284.4482035 2805533.24726976 6296641.23683016 1867502.88931545 5e+05 2577600 4242400
1988-10-23 10 12 23 1988 18944407.2044339 6565839.2458908 1373372.80798291 641231.556424678 4791899.0361366 2826101.34173976 5971979.2610992 1874305.51350468 5e+05 2577600 4242400
1988-10-30 10 13 30 1988 18792250.5453046 6229716.9961438 1358513.69409136 613220.343594678 4750021.77233593 2812282.20589976 5905201.43620338 1849165.4927774 5e+05 2577600 4242400
1988-11-06 11 14 6 1988 18863860.5368046 6352698.5561438 1382307.18162136 608617.701564678 4801001.66313593 2818315.43562976 5617862.30141662 1853887.9741874 5e+05 2577600 4242400
